PMID/DOI,FILE_NAME,SOURCE,TITLE,INFORMATION
15194747,15194747,PubMed,"A Novel Severe Acute Respiratory Syndrome Coronavirus Protein, U274, Is Transported to the Cell Surface and Undergoes Endocytosis",SARS protein U274 cell signaling and trafficking study
15294014,15294014,PubMed,The SARS coronavirus nucleocapsid protein induces actin reorganization and apoptosis in COS-1 cells in the absence of growth factors,Summarizes information about  the ability of the N protein of SARS-CoV to induce apoptosis and actin reorganization in mammalian cells under stressed conditions.
15878679,15878679,PubMed,Antibody responses to individual proteins of SARS coronavirus and their neutralization activities,Antibodies against SARS-CoV-2 proteins can be used as vaccines against the infection
15916886,15916886,PubMed,JNK and PI3k/Akt signaling pathways are required for establishing persistent SARS-CoV infection in Vero E6 cells.,JNK and PI3K/Akt were important for the establishment of persistence in Vero E6 cells
16014971,16014971,PubMed,The severe acute respiratory syndrome coronavirus 3a protein up-regulates expression of fibrinogen in lung epithelial cells.,"Their results showed that the expression of 3a up-regulates the mRNA levels of all three subunits, Aalpha, Bbeta, and gamma, of fibrinogen. Consequently, the intracellular levels as well as the secretion of fibrinogen were increased. they also observed increased fibrinogen levels in SARS-CoV-infected Vero E6 cells."
16043521,16043521,PubMed,Multiple organ infection and the pathogenesis of SARS,Diverse effect of SARS-CoV-2 virus on different organ system
16894145,16894145,PubMed,Severe acute respiratory syndrome-associated coronavirus 3a protein forms an ion channel and modulates virus release.,ORF 3a of SARS-CoV functions as an ion channel that may promote virus release.
17176632,17176632,PubMed,"Evaluation of immunomodulators, interferons and known in vitro SARS-coV inhibitors for inhibition of SARS-coV replication in BALB/c mice",Possible therapeutic approaches for SARS in mouse study
17397959,17397959,PubMed,SARS coronavirus replicase proteins in pathogenesis,Summerize the role of ORF1ab in pathogenesis of SARS
19079579,19079579,PubMed,MyD88 is required for protection from lethal infection with a mouse-adapted SARS-CoV.,MyD88-mediated innate immune signaling and inflammatory cell recruitment to the lung are required for protection from lethal infection.
19394665,19394665,PubMed,Severe acute respiratory syndrome coronavirus accessory protein 9b is a virion-associated protein.,"In summary, some nonstructural proteins were conserved and others were not conserved between 2019-nCoV and SARS-CoV. By focusing on the 2019-nCoV-specific proteins, NS7b and NS8, we proposed a combination of phylogenetic profiling analysis and structural characterization of the genes that were specifically expressed in 2019-nCoV and the closely related bat coronavirus. The data provide insight for further characterization of the infective properties of this virus."
19398035,19398035,PubMed,The ion channel activity of the SARS-coronavirus 3a protein is linked to its pro-apoptotic function.,The ion channel activity of the SARS-coronavirus 3a protein regulate apoptosis in different pathologic conditions.
19906920,19906920,PubMed,Cellular immune responses to severe acute respiratory syndrome coronavirus (SARS-CoV) infection in senescent BALB/c mice: CD4+ T cells are important in control of SARS-CoV infection,Immunological study in mice after SARS infection
20020050,20020050,PubMed,The SARS Coronavirus 3a protein causes endoplasmic reticulum stress and induces ligand-independent downregulation of the type 1 interferon receptor.,Signaling study of SARS Protein 3a overexpression
21356245,21356245,PubMed,Emodin inhibits current through SARS-associated coronavirus 3a protein.,"Here they demonstrate that emodin can inhibit the 3a ion channel of coronavirus SARS-CoV and HCoV-OC43 as well as virus release from HCoV-OC43 with a K1/2 value of about 20 ?M. We suggest that viral ion channels, in general, may be a good target for the development of antiviral agents."
22253445,22253445,PubMed,Phosphatidylinositol 4-kinase III? is required for severe acute respiratory syndrome coronavirus spike-mediated cell entry,Role of Phosphatidylinositol 4-kinase III? in SARS-Cov entry into the cell through spike protein
